Query ID	Subject ID	Percent Identity	Alignment Length	Mismatches	Gap Openings	Query Start	Query End	Subject Start	Subject End	E-Value	Bit Score
tr|A0A381N483|A0A381N483_9ZZZZ	tr|A0A1Z2SIQ1|A0A1Z2SIQ1_VIBGA	39.163	263	151	5	11	267	21	280	3.62e-57	177.0
tr|A0A381N483|A0A381N483_9ZZZZ	BAI99230.2	44.601	213	109	4	52	264	72	275	7.13e-57	176.0
tr|A0A381N483|A0A381N483_9ZZZZ	tr|H6WX58|H6WX58_9ACTN	44.131	213	110	4	52	264	38	241	8.05e-57	175.0
tr|A0A381N483|A0A381N483_9ZZZZ	tr|C3RYL0|C3RYL0_9BACT	42.105	247	133	6	25	266	49	290	4.79e-56	175.0
tr|A0A381N483|A0A381N483_9ZZZZ	WP_062195544.1	39.516	248	144	6	25	269	31	275	5.480000000000001e-56	174.0
tr|A0A381N483|A0A381N483_9ZZZZ	ADV92526.1	42.723	213	113	4	52	264	38	241	9e-56	172.0
tr|A0A381N483|A0A381N483_9ZZZZ	sp|Q6A0I4|PETH2_THEFU	42.723	213	113	4	52	264	77	280	1.84e-55	173.0
tr|A0A381N483|A0A381N483_9ZZZZ	sp|Q47RJ6|PETH2_THEFY	42.723	213	113	4	52	264	77	280	1.84e-55	173.0
tr|A0A381N483|A0A381N483_9ZZZZ	AET05799.1	42.723	213	113	4	52	264	77	280	1.84e-55	173.0
tr|A0A381N483|A0A381N483_9ZZZZ	WP_111881932.1	37.453	267	154	6	1	260	1	261	1.2799999999999999e-54	172.0
tr|A0A381N483|A0A381N483_9ZZZZ	sp|Q47RJ7|PETH1_THEFY	42.723	213	113	4	52	264	95	298	3.84e-54	170.0
tr|A0A381N483|A0A381N483_9ZZZZ	AET05798.1	42.723	213	113	4	52	264	95	298	3.84e-54	170.0
tr|A0A381N483|A0A381N483_9ZZZZ	tr|E9LVH7|E9LVH7_THEAE	42.254	213	114	4	52	264	38	241	4.0699999999999996e-54	168.0
tr|A0A381N483|A0A381N483_9ZZZZ	EGD44994.1	38.931	262	146	5	9	264	23	276	4.61e-52	164.0
tr|A0A381N483|A0A381N483_9ZZZZ	ODU60407.1	36.508	252	155	5	25	272	39	289	2.13e-51	162.0
tr|A0A381N483|A0A381N483_9ZZZZ	WP_039353427.1	37.262	263	156	5	5	264	9	265	1.12e-50	162.0
tr|A0A381N483|A0A381N483_9ZZZZ	tr|D1A9G5|D1A9G5_THECD	38.073	218	124	4	48	264	62	269	5.61e-49	156.0
tr|A0A381N483|A0A381N483_9ZZZZ	tr|A0A1W6L588|A0A1W6L588_9BURK	36.759	253	152	6	25	275	34	280	1.02e-47	152.0
tr|A0A381N483|A0A381N483_9ZZZZ	tr|W0TJ64|W0TJ64_9PSEU	39.669	242	136	5	25	264	53	286	5.36e-46	149.0
tr|A0A381N483|A0A381N483_9ZZZZ	WP_104613137.1	41.784	213	115	4	52	264	77	280	1.03e-44	145.0
tr|A0A381N483|A0A381N483_9ZZZZ	tr|E5BBQ2|E5BBQ2_THEFU	41.784	213	115	4	52	264	95	298	2.03e-43	142.0
tr|A0A381N483|A0A381N483_9ZZZZ	WP_093412886.1	39.313	262	141	7	11	264	23	274	6.4499999999999996e-40	132.0
tr|A0A381N483|A0A381N483_9ZZZZ	sp|P19833|LIP1_MORS1	31.739	230	144	6	52	279	95	313	1.24e-35	122.0
tr|A0A381N483|A0A381N483_9ZZZZ	RLT92980.1	31.967	244	145	7	33	264	19	253	1.81e-32	112.0
tr|A0A381N483|A0A381N483_9ZZZZ	pdb|2FX5|A	22.179	257	161	11	24	266	9	240	0.012	27.3
tr|A0A381N483|A0A381N483_9ZZZZ	RLI42440.1	29.87	77	47	5	177	251	187	258	0.035	25.8
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	WP_111881932.1	50.373	268	122	4	41	304	29	289	9.819999999999999e-89	262.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	WP_039353427.1	44.34	318	153	6	3	320	1	294	6.63e-80	239.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	UUT36763.1	37.5	264	157	6	39	300	55	312	1.43e-49	159.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	sp|G9BY57|PETH_UNKP	37.405	262	148	6	39	299	44	290	3.71e-48	155.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	ANP21911.1	37.184	277	162	8	25	300	33	298	1.1699999999999999e-46	151.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	tr|A0A0G3BI90|A0A0G3BI90_9BURK	36.187	257	147	6	39	291	39	282	1.79e-46	151.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	UUT36764.1	37.751	249	143	7	39	285	50	288	2.7399999999999998e-45	148.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	tr|C3RYL0|C3RYL0_9BACT	39.326	267	146	9	37	300	51	304	3.4e-45	148.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	GBD22443.1	36.641	262	150	6	39	299	44	290	4.08e-45	147.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	tr|A0A1H6AD45|A0A1H6AD45_9GAMM	37.179	234	139	5	68	300	74	300	1.25e-44	146.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	ANP21910.1	36.742	264	158	7	39	300	47	303	1.38e-44	146.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	tr|R4YKL9|R4YKL9_OLEAN	36.364	264	154	7	39	299	53	305	4.25e-43	142.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	BAI99230.2	38.583	254	139	6	37	290	45	281	2.98e-42	140.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	ODU60407.1	35.581	267	164	5	27	291	28	288	5.85e-42	139.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	sp|F7IX06|PETH2_THEAE	37.319	276	146	7	37	312	49	297	8.9e-42	139.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	ADV92526.1	38.735	253	138	6	37	289	11	246	9.21e-42	137.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	tr|E9LVH7|E9LVH7_THEAE	38.735	253	138	6	37	289	11	246	1.0699999999999999e-41	137.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	sp|Q6A0I4|PETH2_THEFU	37.41	278	148	8	13	289	33	285	1.29e-41	138.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	sp|Q47RJ6|PETH2_THEFY	37.41	278	148	8	13	289	33	285	1.29e-41	138.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	AET05799.1	37.41	278	148	8	13	289	33	285	1.29e-41	138.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	WP_062195544.1	33.468	248	155	5	39	285	32	270	2.53e-41	137.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	sp|Q47RJ7|PETH1_THEFY	37.05	278	149	8	13	289	51	303	2.81e-41	138.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	AET05798.1	37.05	278	149	8	13	289	51	303	2.81e-41	138.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	tr|H6WX58|H6WX58_9ACTN	36.22	254	145	6	37	290	11	247	3.0099999999999997e-40	134.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	sp|A0A0K8P6T7|PETH_IDESA	34.828	290	167	8	4	290	8	278	2.27e-39	132.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	WP_078759821.1	35.547	256	145	7	36	290	58	294	4.07e-37	127.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	EGD44994.1	36.161	224	130	4	68	290	71	282	2.4e-36	124.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	RLU00646.1	34.538	249	151	7	39	285	55	293	3.7e-36	124.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	tr|A0A1Z2SIQ1|A0A1Z2SIQ1_VIBGA	33.091	275	161	8	40	309	41	297	3.96e-36	124.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	WP_104613137.1	37.05	278	149	8	13	289	33	285	2.1199999999999997e-34	119.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	tr|W0TJ64|W0TJ64_9PSEU	37.154	253	141	7	37	288	55	290	6.35e-34	118.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	WP_093412886.1	37.262	263	146	6	29	290	36	280	8.429999999999999e-34	117.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	tr|D1A9G5|D1A9G5_THECD	33.333	255	151	6	37	290	39	275	6.55e-33	115.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	RLT92980.1	32.5	240	143	7	70	299	39	269	7.510000000000001e-33	114.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	tr|E5BBQ2|E5BBQ2_THEFU	36.559	279	149	9	13	289	51	303	3.53e-32	114.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	tr|A0A1W6L588|A0A1W6L588_9BURK	34.263	251	146	7	39	285	35	270	6.88e-30	107.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	sp|P19833|LIP1_MORS1	31.799	239	144	8	49	285	78	299	7.99e-29	104.0
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	WP_085690612.1	29.091	55	33	1	116	170	70	118	0.14	23.9
tr|A0A381N7K3|A0A381N7K3_9ZZZZ	RLI42440.1	22.963	135	59	3	155	244	104	238	0.21	23.5
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	BAI99230.2	34.468	235	136	7	57	291	59	275	8.3e-40	133.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	sp|Q47RJ7|PETH1_THEFY	33.818	275	144	8	48	300	57	315	1.94e-39	132.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	AET05798.1	33.818	275	144	8	48	300	57	315	1.94e-39	132.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	tr|A0A1H6AD45|A0A1H6AD45_9GAMM	32.773	238	148	4	71	305	73	301	9.03e-39	130.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	ANP21911.1	31.356	236	151	3	58	293	60	284	5.419999999999999e-38	128.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	tr|A0A1Z2SIQ1|A0A1Z2SIQ1_VIBGA	29.073	313	194	7	1	305	2	294	7.79e-38	127.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	RLU00646.1	31.25	240	156	4	58	297	68	298	7.86e-38	128.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	ADV92526.1	35.021	237	130	6	72	300	38	258	1.41e-37	126.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	sp|Q6A0I4|PETH2_THEFU	35.021	237	130	6	72	300	77	297	2.72e-37	126.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	sp|Q47RJ6|PETH2_THEFY	35.021	237	130	6	72	300	77	297	2.72e-37	126.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	AET05799.1	35.021	237	130	6	72	300	77	297	2.72e-37	126.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	sp|F7IX06|PETH2_THEAE	33.784	222	131	6	70	291	74	279	2.7700000000000003e-37	126.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	UUT36764.1	30.364	247	162	4	58	303	63	300	5.050000000000001e-37	125.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	tr|H6WX58|H6WX58_9ACTN	33.898	236	138	6	56	291	24	241	5.89e-37	124.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	WP_062195544.1	33.784	222	138	3	72	293	59	271	1.57e-36	124.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	tr|E9LVH7|E9LVH7_THEAE	34.599	237	131	6	72	300	38	258	3.1e-36	122.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	UUT36763.1	30.612	245	157	4	58	298	68	303	3.74e-36	124.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	tr|A0A0G3BI90|A0A0G3BI90_9BURK	33.784	222	138	3	72	293	65	277	1.37e-35	122.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	tr|D1A9G5|D1A9G5_THECD	33.182	220	131	5	72	291	66	269	1.4200000000000002e-35	121.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	sp|G9BY57|PETH_UNKP	30.634	284	170	10	26	306	30	289	7.02e-35	120.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	ANP21910.1	31.718	227	143	4	70	293	72	289	5.089999999999999e-34	118.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	GBD22443.1	30.035	283	171	10	26	305	30	288	7.23e-34	117.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	EGD44994.1	30.453	243	155	6	49	291	48	276	6.74e-33	114.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	WP_111881932.1	31.224	237	145	4	63	291	39	265	1.5600000000000002e-32	115.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	WP_039353427.1	33.482	224	139	4	68	291	52	265	3.86e-32	114.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	tr|R4YKL9|R4YKL9_OLEAN	28.39	236	160	4	58	293	66	292	4.71e-32	112.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	ODU60407.1	32.589	224	141	4	72	293	68	283	5.78e-32	112.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	tr|C3RYL0|C3RYL0_9BACT	32.735	223	142	3	71	293	76	290	5.810000000000001e-32	112.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	WP_078759821.1	30.342	234	147	5	58	291	71	288	1.5100000000000002e-31	111.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	tr|E5BBQ2|E5BBQ2_THEFU	33.818	275	144	8	48	300	57	315	1.8599999999999997e-30	108.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	WP_104613137.1	33.818	275	144	8	48	300	39	297	1.0500000000000001e-29	106.0
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	WP_093412886.1	36.087	230	131	5	72	301	71	284	4.0400000000000005e-27	99.4
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	sp|P19833|LIP1_MORS1	28.794	257	152	7	54	294	76	317	5.98e-26	96.7
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	sp|A0A0K8P6T7|PETH_IDESA	31.76	233	148	5	58	290	50	271	7.29e-26	95.9
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	tr|W0TJ64|W0TJ64_9PSEU	31.624	234	146	5	58	291	67	286	5.3e-25	93.6
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	tr|A0A1W6L588|A0A1W6L588_9BURK	31.718	227	143	5	72	298	61	275	1.1e-23	89.7
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	RLT92980.1	27.727	220	150	5	75	291	40	253	2.15e-22	85.9
tr|A0A381U0M4|A0A381U0M4_9ZZZZ	pdb|2FX5|A	26.623	154	97	5	113	263	73	213	0.000575	31.6
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	sp|G9BY57|PETH_UNKP	40.684	263	143	7	12	271	40	292	4.81e-65	197.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	tr|R4YKL9|R4YKL9_OLEAN	41.569	255	142	6	13	264	50	300	4.96e-64	195.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	tr|A0A0G3BI90|A0A0G3BI90_9BURK	39.777	269	157	4	4	270	27	292	8.27e-64	194.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	tr|A0A1H6AD45|A0A1H6AD45_9GAMM	40.784	255	145	5	13	265	44	294	5.01e-63	192.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	UUT36764.1	40.769	260	147	6	13	270	47	301	1.69e-62	191.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	ANP21910.1	40.076	262	149	6	13	270	44	301	2.06e-61	188.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	GBD22443.1	38.403	263	149	7	12	271	40	292	2.29e-61	187.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	UUT36763.1	38.996	259	146	6	12	263	51	304	5.509999999999999e-61	187.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	RLU00646.1	40.726	248	139	6	13	257	52	294	1.3699999999999998e-60	186.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	sp|A0A0K8P6T7|PETH_IDESA	43.023	258	138	7	1	254	19	271	2.05e-60	185.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	ANP21911.1	40.154	259	148	6	13	270	44	296	4.1299999999999996e-60	184.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	ADV92526.1	41.057	246	133	6	12	255	6	241	1.14e-59	182.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	sp|Q6A0I4|PETH2_THEFU	41.057	246	133	6	12	255	45	280	2.46e-59	182.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	sp|Q47RJ6|PETH2_THEFY	41.057	246	133	6	12	255	45	280	2.46e-59	182.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	AET05799.1	41.057	246	133	6	12	255	45	280	2.46e-59	182.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	WP_062195544.1	39.286	252	147	6	10	259	26	273	4.11e-59	182.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	tr|H6WX58|H6WX58_9ACTN	42.4	250	124	8	12	255	6	241	7.91e-59	180.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	WP_078759821.1	41.057	246	132	6	12	255	54	288	1.3800000000000001e-58	181.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	sp|F7IX06|PETH2_THEAE	44.393	214	109	5	42	255	76	279	3.9300000000000005e-58	179.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	tr|E9LVH7|E9LVH7_THEAE	40.65	246	134	6	12	255	6	241	5.06e-58	178.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	BAI99230.2	43.458	214	111	5	42	255	72	275	1.79e-57	177.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	sp|Q47RJ7|PETH1_THEFY	44.86	214	108	6	42	255	95	298	2.4100000000000002e-57	178.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	AET05798.1	44.86	214	108	6	42	255	95	298	2.4100000000000002e-57	178.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	tr|C3RYL0|C3RYL0_9BACT	40.0	265	147	8	6	264	39	297	3.25e-57	177.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	WP_111881932.1	40.084	237	135	5	18	251	29	261	5.8e-55	173.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	tr|A0A1Z2SIQ1|A0A1Z2SIQ1_VIBGA	39.924	263	147	9	12	270	36	291	1.27e-53	168.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	tr|A0A1W6L588|A0A1W6L588_9BURK	39.844	256	147	6	12	266	31	280	1.6499999999999998e-52	165.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	ODU60407.1	36.719	256	156	6	12	263	36	289	4.33e-51	161.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	WP_104613137.1	41.463	246	132	6	12	255	45	280	2.1400000000000002e-49	157.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	tr|D1A9G5|D1A9G5_THECD	38.532	218	122	5	39	255	63	269	5.92e-49	155.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	EGD44994.1	36.719	256	150	6	3	255	30	276	4.5599999999999997e-48	153.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	tr|E5BBQ2|E5BBQ2_THEFU	41.057	246	133	7	12	255	63	298	3.0800000000000004e-47	152.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	tr|W0TJ64|W0TJ64_9PSEU	39.837	246	137	6	12	255	50	286	1.6199999999999999e-46	149.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	WP_039353427.1	35.827	254	148	6	1	251	20	261	1.66e-46	151.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	WP_093412886.1	40.0	275	147	8	3	270	30	293	4.03e-45	145.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	sp|P19833|LIP1_MORS1	34.199	231	138	7	42	270	95	313	1.09e-39	132.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	RLT92980.1	31.95	241	150	6	23	255	19	253	1.37e-30	107.0
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	pdb|2FX5|A	24.904	261	156	10	15	261	10	244	1.41e-07	42.4
tr|A0A381Z9M3|A0A381Z9M3_9ZZZZ	RLI42440.1	46.667	15	8	0	129	143	104	118	0.28	22.7
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	WP_111881932.1	43.307	254	134	3	203	451	37	285	1.93e-63	204.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	WP_039353427.1	40.52	269	145	4	203	466	37	295	1.7e-55	183.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	ANP21911.1	34.016	244	147	6	195	435	50	282	2.4099999999999997e-34	123.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	sp|G9BY57|PETH_UNKP	32.271	251	156	5	203	451	54	292	2.99e-32	117.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	WP_062195544.1	34.906	212	133	3	225	435	62	269	5.25e-32	116.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	UUT36763.1	32.645	242	147	5	194	428	57	289	1.9600000000000001e-31	115.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	UUT36764.1	34.016	244	149	6	195	435	53	287	1.0799999999999999e-30	113.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	tr|C3RYL0|C3RYL0_9BACT	35.2	250	152	7	199	446	57	298	1.1799999999999999e-30	113.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	ANP21910.1	32.941	255	156	6	194	442	49	294	1.24e-30	113.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	tr|R4YKL9|R4YKL9_OLEAN	32.456	228	144	5	203	428	64	283	3.05e-30	112.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	tr|A0A0G3BI90|A0A0G3BI90_9BURK	30.204	245	162	3	199	442	46	282	1.9300000000000002e-29	109.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	tr|A0A1H6AD45|A0A1H6AD45_9GAMM	32.075	212	139	3	225	435	77	284	1.9500000000000002e-29	109.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	BAI99230.2	32.0	250	150	7	196	441	48	281	2.1200000000000002e-29	109.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	sp|F7IX06|PETH2_THEAE	31.66	259	155	8	196	450	52	292	4.53e-29	108.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	GBD22443.1	31.984	247	145	5	203	449	54	277	5.230000000000001e-29	108.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	ODU60407.1	29.796	245	160	4	203	442	51	288	6.64e-29	108.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	sp|A0A0K8P6T7|PETH_IDESA	31.89	254	157	7	199	447	44	286	2.4100000000000003e-27	103.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	tr|A0A1Z2SIQ1|A0A1Z2SIQ1_VIBGA	29.461	241	156	6	199	435	47	277	4.09e-27	102.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	tr|H6WX58|H6WX58_9ACTN	30.645	248	159	7	194	441	13	247	1.12e-25	97.8
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	tr|D1A9G5|D1A9G5_THECD	31.481	216	136	5	225	439	69	273	3.05e-25	97.1
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	sp|Q47RJ7|PETH1_THEFY	29.796	245	158	6	196	439	71	302	6.42e-25	96.7
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	AET05798.1	29.796	245	158	6	196	439	71	302	6.42e-25	96.7
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	ADV92526.1	29.114	237	156	5	203	439	21	245	7.33e-24	92.4
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	RLT92980.1	31.193	218	146	4	227	441	42	258	1.9799999999999998e-23	91.3
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	sp|Q6A0I4|PETH2_THEFU	29.114	237	156	5	203	439	60	284	2.4399999999999999e-23	91.7
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	sp|Q47RJ6|PETH2_THEFY	29.114	237	156	5	203	439	60	284	2.4399999999999999e-23	91.7
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	AET05799.1	29.114	237	156	5	203	439	60	284	2.4399999999999999e-23	91.7
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	tr|E9LVH7|E9LVH7_THEAE	28.692	237	157	5	203	439	21	245	4.2799999999999993e-23	90.1
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	EGD44994.1	27.982	218	147	4	225	441	74	282	7.489999999999999e-23	90.1
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	RLU00646.1	29.289	239	158	7	195	431	59	288	2.47e-22	89.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	WP_078759821.1	29.412	221	138	5	225	441	88	294	2.8200000000000003e-22	89.0
tr|A0A382B0C1|A0A382B0C1_9ZZZZ	sp|P19833|LIP1_MORS1	28.07	228	148	5	203	428	78	291	1.43e-21	87.0
